region,event,date
Shandong,Irrigation,2025-08-29
Hebei,Irrigation,2025-09-03
Hebei,Fungicide,2025-06-27
Hebei,Fungicide,2025-06-27
Hebei,Fungicide,2025-06-28
Hebei,Fungicide,2025-06-28
Hebei,Fungicide,2025-06-28
Hebei,Fungicide,2025-06-28
Hebei,Fungicide,2025-07-12
Hebei,Fungicide,2025-07-12
Hebei,Fungicide,2025-07-16
Hebei,Fungicide,2025-07-16
Hebei,Fungicide,2025-07-16
Hebei,Fungicide,2025-07-16
Hebei,Fungicide,2025-07-17
Hebei,Fungicide,2025-07-17
Hebei,Fungicide,2025-07-19
Hebei,Fungicide,2025-07-19
Hebei,Fungicide,2025-07-19
Hebei,Fungicide,2025-07-19
Hebei,Fungicide,2025-07-20
Hebei,Fungicide,2025-07-20
Hebei,Fungicide,2025-07-20
Hebei,Fungicide,2025-07-21
Hebei,Fungicide,2025-07-21
Shandong,Fungicide,2025-07-22
Shandong,Fungicide,2025-07-22
Hebei,Fungicide,2025-07-30
Shandong,Fungicide,2025-07-30
Shandong,Fungicide,2025-07-30
Shandong,Fungicide,2025-08-04
Shandong,Fungicide,2025-08-04
Shandong,Fungicide,2025-08-04
Shandong,Fungicide,2025-08-04
Shandong,Fungicide,2025-08-07
Shandong,Fungicide,2025-08-07
Shandong,Fungicide,2025-08-07
Shandong,Fungicide,2025-08-08
Shandong,Fungicide,2025-08-08
Shandong,Fungicide,2025-08-08
Shandong,Fungicide,2025-08-11
Shandong,Fungicide,2025-08-11
Shandong,Fungicide,2025-08-11
Shandong,Fungicide,2025-08-11
Shandong,Fungicide,2025-08-11
Shandong,Fungicide,2025-08-16
Shandong,Fungicide,2025-08-16
Shandong,Fungicide,2025-08-16
Shandong,Fungicide,2025-08-16
Shandong,Fungicide,2025-08-16
Shandong,Fungicide,2025-08-27
Shandong,Fungicide,2025-08-27
Shandong,Fungicide,2025-08-27
Shandong,Fungicide,2025-09-04
Shandong,Fungicide,2025-09-04
Shandong,Fungicide,2025-09-04
Shandong,Fungicide,2025-09-18
Shandong,Fungicide,2025-09-18
Shandong,Fungicide,2025-09-18
Shandong,Fungicide,2025-09-18
Shandong,Fungicide,2025-09-18
Shandong,Fungicide,2025-09-18
Hebei,Growth regulator,2025-07-06
Hebei,Growth regulator,2025-07-07
Hebei,Growth regulator,2025-07-09
Hebei,Growth regulator,2025-07-10
Hebei,Growth regulator,2025-07-10
Hebei,Growth regulator,2025-07-10
Hebei,Growth regulator,2025-07-11
Hebei,Growth regulator,2025-07-12
Hebei,Growth regulator,2025-07-13
Hebei,Growth regulator,2025-07-16
Hebei,Growth regulator,2025-07-16
Hebei,Growth regulator,2025-07-16
Hebei,Growth regulator,2025-07-16
Hebei,Growth regulator,2025-07-16
Hebei,Growth regulator,2025-07-16
Hebei,Growth regulator,2025-07-17
Hebei,Growth regulator,2025-07-17
Hebei,Growth regulator,2025-07-17
Hebei,Growth regulator,2025-07-19
Hebei,Growth regulator,2025-07-19
Hebei,Growth regulator,2025-07-19
